chrom,IID,phase_N50,group,sex,replicate
chr8,EQ10,21806,linked-read,male,no
chrZ,EQ10,18213,linked-read,male,no
chr2,EQ11,34257,linked-read,male,no
chr8,EQ11,24769,linked-read,male,no
chrZ,EQ11,21387,linked-read,male,no
chr2,EQ12,14535,linked-read,female,no
chr8,EQ12,13549,linked-read,female,no
chrZ,EQ12,8935,linked-read,female,no
chr2,EQ13,23779,linked-read,female,no
chr8,EQ13,20297,linked-read,female,no
chrZ,EQ13,12101,linked-read,female,no
chr2,EQ14,24091,linked-read,male,no
chr8,EQ14,19400,linked-read,male,no
chrZ,EQ14,16518,linked-read,male,no
chr2,EQ15,88801,linked-read,female,no
chr8,EQ15,47956,linked-read,female,no
chrZ,EQ15,13718,linked-read,female,no
chr2,EQ16,46336,linked-read,female,no
chr8,EQ16,31662,linked-read,female,no
chrZ,EQ16,11531,linked-read,female,no
chr2,EQ17,9761,linked-read,male,no
chr8,EQ17,9189,linked-read,male,no
chrZ,EQ17,9680,linked-read,male,no
chr2,EQ18,15480,linked-read,female,no
chr8,EQ18,14409,linked-read,female,no
chrZ,EQ18,10786,linked-read,female,no
chr2,EQ19,17286,linked-read,male,no
chr8,EQ19,16099,linked-read,male,no
chrZ,EQ19,15191,linked-read,male,no
chr2,EQ20,16535,linked-read,female,no
chr8,EQ20,15463,linked-read,female,no
chrZ,EQ20,10694,linked-read,female,no
chr2,EQ21,16988,linked-read,male,no
chr8,EQ21,16146,linked-read,male,no
chrZ,EQ21,14808,linked-read,male,no
chr2,EQ22,14919,linked-read,female,no
chr8,EQ22,13703,linked-read,female,no
chrZ,EQ22,10741,linked-read,female,no
chr2,EQ23,19939,linked-read,male,no
chr8,EQ23,18506,linked-read,male,no
chrZ,EQ23,17196,linked-read,male,no
chr2,EQ24,10652,linked-read,male,no
chr8,EQ24,9928,linked-read,male,no
chrZ,EQ24,10292,linked-read,male,no
chr2,EQ25,16493,linked-read,female,no
chr8,EQ25,16337,linked-read,female,no
chrZ,EQ25,12951,linked-read,female,no
chr2,EQ26,14116,linked-read,male,no
chr8,EQ26,13404,linked-read,male,no
chrZ,EQ26,12179,linked-read,male,no
chr2,EQ27,17338,linked-read,female,no
chr8,EQ27,15585,linked-read,female,no
chrZ,EQ27,11320,linked-read,female,no
chr2,FT02,17557,linked-read,male,no
chr8,FT02,16780,linked-read,male,no
chrZ,FT02,14570,linked-read,male,no
chr2,FT03,24512,linked-read,female,no
chr8,FT03,22247,linked-read,female,no
chrZ,FT03,11854,linked-read,female,no
chr2,FT04,18914,linked-read,female,no
chr8,FT04,17415,linked-read,female,no
chrZ,FT04,12520,linked-read,female,no
chr2,FT06,22543,linked-read,male,no
chr8,FT06,20869,linked-read,male,no
chrZ,FT06,15741,linked-read,male,no
chr2,FT07,16511,linked-read,male,no
chr8,FT07,15588,linked-read,male,no
chrZ,FT07,15067,linked-read,male,no
chr2,FT09,19800,linked-read,female,no
chr8,FT09,18198,linked-read,female,no
chrZ,FT09,12307,linked-read,female,no
chr2,FT10,20181,linked-read,male,no
chr8,FT10,19114,linked-read,male,no
chrZ,FT10,16249,linked-read,male,no
chr2,FT100,16389,linked-read,male,no
chr8,FT100,15621,linked-read,male,no
chrZ,FT100,13601,linked-read,male,no
chr2,FT101,22387,linked-read,male,no
chr8,FT101,20347,linked-read,male,no
chrZ,FT101,19085,linked-read,male,no
chr2,FT102,52385,linked-read,male,no
chr8,FT102,38161,linked-read,male,no
chrZ,FT102,24056,linked-read,male,no
chr2,FT103,20135,linked-read,female,no
chr8,FT103,19124,linked-read,female,no
chrZ,FT103,11022,linked-read,female,no
chr2,FT104,31181,linked-read,male,no
chr8,FT104,30307,linked-read,male,no
chrZ,FT104,24857,linked-read,male,no
chr2,FT105,36614,linked-read,male,no
chr8,FT105,28965,linked-read,male,no
chrZ,FT105,22445,linked-read,male,no
chr2,FT106,46909,linked-read,male,no
chr8,FT106,33326,linked-read,male,no
chrZ,FT106,23987,linked-read,male,no
chr2,FT107,12243,linked-read,male,no
chr8,FT107,11622,linked-read,male,no
chrZ,FT107,11632,linked-read,male,no
chr2,FT108,22732,linked-read,female,no
chr8,FT108,21423,linked-read,female,no
chrZ,FT108,14195,linked-read,female,no
chr2,FT11,15626,linked-read,female,no
chr8,FT11,14819,linked-read,female,no
chrZ,FT11,11524,linked-read,female,no
chr2,FT117,15389,linked-read,male,no
chr8,FT117,14796,linked-read,male,no
chrZ,FT117,13438,linked-read,male,no
chr2,FT118,14329,linked-read,male,no
chr8,FT118,14083,linked-read,male,no
chrZ,FT118,13653,linked-read,male,no
chr2,FT12,16592,linked-read,female,no
chr8,FT12,16061,linked-read,female,no
chrZ,FT12,12504,linked-read,female,no
chr2,FT13,16784,linked-read,male,no
chr8,FT13,16069,linked-read,male,no
chrZ,FT13,13614,linked-read,male,no
chr2,FT14,14187,linked-read,male,no
chr8,FT14,14788,linked-read,male,no
chrZ,FT14,12079,linked-read,male,no
chr2,FT15,19697,linked-read,male,no
chr8,FT15,18370,linked-read,male,no
chrZ,FT15,15848,linked-read,male,no
chr2,FT16,14847,linked-read,female,no
chr8,FT16,13785,linked-read,female,no
chrZ,FT16,11353,linked-read,female,no
chr2,FT17,15238,linked-read,male,no
chr8,FT17,14501,linked-read,male,no
chrZ,FT17,13763,linked-read,male,no
chr2,FT18,13227,linked-read,male,no
chr8,FT18,13357,linked-read,male,no
chrZ,FT18,12653,linked-read,male,no
chr2,FT20,17175,linked-read,female,no
chr8,FT20,16476,linked-read,female,no
chrZ,FT20,11588,linked-read,female,no
chr2,FT21,16783,linked-read,male,no
chr8,FT21,15485,linked-read,male,no
chrZ,FT21,14989,linked-read,male,no
chr2,FT22,20681,linked-read,female,no
chr8,FT22,18511,linked-read,female,no
chrZ,FT22,11716,linked-read,female,no
chr2,FT23,15014,linked-read,male,no
chr8,FT23,14862,linked-read,male,no
chrZ,FT23,12770,linked-read,male,no
chr2,FT24,43091,linked-read,male,no
chr8,FT24,34182,linked-read,male,no
chrZ,FT24,27607,linked-read,male,no
chr2,FT25,66963,linked-read,male,no
chr8,FT25,40752,linked-read,male,no
chrZ,FT25,25413,linked-read,male,no
chr2,FT26,33354,linked-read,female,no
chr8,FT26,27014,linked-read,female,no
chrZ,FT26,13662,linked-read,female,no
chr2,FT28,87258,linked-read,male,no
chr8,FT28,44891,linked-read,male,no
chrZ,FT28,27496,linked-read,male,no
chr2,FT29,141668,linked-read,male,no
chr8,FT29,80114,linked-read,male,no
chrZ,FT29,36672,linked-read,male,no
chr2,FT30,92647,linked-read,male,no
chr8,FT30,53985,linked-read,male,no
chrZ,FT30,29228,linked-read,male,no
chr2,FT31,66186,linked-read,male,no
chr8,FT31,39760,linked-read,male,no
chrZ,FT31,29321,linked-read,male,no
chr2,FT33,38401,linked-read,male,no
chr8,FT33,30225,linked-read,male,no
chrZ,FT33,23368,linked-read,male,no
chr2,FT34,26153,linked-read,female,no
chr8,FT34,23577,linked-read,female,no
chrZ,FT34,13906,linked-read,female,no
chr2,FT35,113717,linked-read,male,no
chr8,FT35,57813,linked-read,male,no
chrZ,FT35,31247,linked-read,male,no
chr2,FT36,18316,linked-read,female,no
chr8,FT36,17198,linked-read,female,no
chrZ,FT36,11910,linked-read,female,no
chr2,FT37,23224,linked-read,male,no
chr8,FT37,21794,linked-read,male,no
chrZ,FT37,17906,linked-read,male,no
chr2,FT38,24817,linked-read,male,no
chr8,FT38,24666,linked-read,male,no
chrZ,FT38,22951,linked-read,male,no
chr2,FT39,49348,linked-read,male,no
chr8,FT39,34424,linked-read,male,no
chrZ,FT39,27535,linked-read,male,no
chr2,FT40,39462,linked-read,male,no
chr8,FT40,31874,linked-read,male,no
chrZ,FT40,26129,linked-read,male,no
chr2,FT41,361903,linked-read,male,no
chr8,FT41,177420,linked-read,male,no
chrZ,FT41,51766,linked-read,male,no
chr2,FT42,42441,linked-read,male,no
chr8,FT42,29115,linked-read,male,no
chrZ,FT42,24466,linked-read,male,no
chr2,FT46,133869,linked-read,male,no
chr8,FT46,64952,linked-read,male,no
chrZ,FT46,38979,linked-read,male,no
chr2,FT47,49369,linked-read,male,no
chr8,FT47,35354,linked-read,male,no
chrZ,FT47,24692,linked-read,male,no
chr2,FT48,45209,linked-read,male,no
chr8,FT48,32971,linked-read,male,no
chrZ,FT48,22967,linked-read,male,no
chr2,FT49,17496,linked-read,female,no
chr8,FT49,16823,linked-read,female,no
chrZ,FT49,10328,linked-read,female,no
chr2,FT50,17866,linked-read,female,no
chr8,FT50,18447,linked-read,female,no
chrZ,FT50,11341,linked-read,female,no
chr2,FT53,18607,linked-read,female,no
chr8,FT53,17335,linked-read,female,no
chrZ,FT53,11327,linked-read,female,no
chr2,FT54,29255,linked-read,male,no
chr8,FT54,22438,linked-read,male,no
chrZ,FT54,19509,linked-read,male,no
chr2,FT55,38914,linked-read,male,no
chr8,FT55,26901,linked-read,male,no
chrZ,FT55,21215,linked-read,male,no
chr2,FT56,50487,linked-read,male,no
chr8,FT56,33510,linked-read,male,no
chrZ,FT56,25957,linked-read,male,no
chr2,FT59,44341,linked-read,male,no
chr8,FT59,27770,linked-read,male,no
chrZ,FT59,22093,linked-read,male,no
chr2,FT62,45001,linked-read,male,no
chr8,FT62,30977,linked-read,male,no
chrZ,FT62,23735,linked-read,male,no
chr2,FT63,58765,linked-read,male,no
chr8,FT63,37837,linked-read,male,no
chrZ,FT63,26957,linked-read,male,no
chr2,FT66,53330,linked-read,male,no
chr8,FT66,34157,linked-read,male,no
chrZ,FT66,24634,linked-read,male,no
chr2,FT67,20322,linked-read,male,no
chr8,FT67,18362,linked-read,male,no
chrZ,FT67,16504,linked-read,male,no
chr2,FT69,71416,linked-read,male,no
chr8,FT69,44383,linked-read,male,no
chrZ,FT69,29318,linked-read,male,no
chr2,FT71,36064,linked-read,male,no
chr8,FT71,26642,linked-read,male,no
chrZ,FT71,23707,linked-read,male,no
chr2,FT72,35530,linked-read,male,no
chr8,FT72,26610,linked-read,male,no
chrZ,FT72,21714,linked-read,male,no
chr2,FT77,79585,linked-read,male,no
chr8,FT77,40250,linked-read,male,no
chrZ,FT77,29430,linked-read,male,no
chr2,FT80,133632,linked-read,male,no
chr8,FT80,55940,linked-read,male,no
chrZ,FT80,30865,linked-read,male,no
chr2,FT81,40908,linked-read,male,no
chr8,FT81,28163,linked-read,male,no
chrZ,FT81,24810,linked-read,male,no
chr2,FT86,28492,linked-read,male,no
chr8,FT86,23553,linked-read,male,no
chrZ,FT86,20290,linked-read,male,no
chr2,FT87,20332,linked-read,male,no
chr8,FT87,18500,linked-read,male,no
chrZ,FT87,17776,linked-read,male,no
chr2,FT88,60684,linked-read,male,no
chr8,FT88,33393,linked-read,male,no
chrZ,FT88,27052,linked-read,male,no
chr2,FT89,111058,linked-read,male,no
chr8,FT89,58362,linked-read,male,no
chrZ,FT89,32038,linked-read,male,no
chr2,FT90,20542,linked-read,female,no
chr8,FT90,20552,linked-read,female,no
chrZ,FT90,14100,linked-read,female,no
chr2,FT91,18765,linked-read,male,no
chr8,FT91,17929,linked-read,male,no
chrZ,FT91,16625,linked-read,male,no
chr2,FT92,83659,linked-read,male,no
chr8,FT92,46095,linked-read,male,no
chrZ,FT92,29217,linked-read,male,no
chr2,FT93,18782,linked-read,female,no
chr8,FT93,18769,linked-read,female,no
chrZ,FT93,12605,linked-read,female,no
chr2,FT94,66155,linked-read,male,no
chr8,FT94,42710,linked-read,male,no
chrZ,FT94,31074,linked-read,male,no
chr2,FT95,290,no_HMW_DNA,male,no
chr8,FT95,274,no_HMW_DNA,male,no
chrZ,FT95,286,no_HMW_DNA,male,no
chr2,FT96,26940,linked-read,female,no
chr8,FT96,25441,linked-read,female,no
chrZ,FT96,15182,linked-read,female,no
chr2,FT97,26832,linked-read,male,no
chr8,FT97,22775,linked-read,male,no
chrZ,FT97,21755,linked-read,male,no
chr2,FT98,41814,linked-read,male,no
chr8,FT98,30829,linked-read,male,no
chrZ,FT98,24468,linked-read,male,no
chr2,G0122,9589,linked-read,male,no
chr8,G0122,9144,linked-read,male,no
chrZ,G0122,8575,linked-read,male,no
chr2,G0132,13886,linked-read,male,no
chr8,G0132,12231,linked-read,male,no
chrZ,G0132,11840,linked-read,male,no
chr2,G0153,7952,linked-read,male,no
chr8,G0153,7660,linked-read,male,no
chrZ,G0153,7636,linked-read,male,no
chr2,G0185,5172,linked-read,male,no
chr8,G0185,5096,linked-read,male,no
chrZ,G0185,5970,linked-read,male,no
chr2,G0193,7760,linked-read,male,no
chr8,G0193,7620,linked-read,male,no
chrZ,G0193,7592,linked-read,male,no
chr2,G0206,9030,linked-read,male,no
chr8,G0206,8855,linked-read,male,no
chrZ,G0206,8952,linked-read,male,no
chr2,G0248,9168,linked-read,male,no
chr8,G0248,8956,linked-read,male,no
chrZ,G0248,8809,linked-read,male,no
chr2,G0264,7167,linked-read,male,no
chr8,G0264,6915,linked-read,male,no
chrZ,G0264,7296,linked-read,male,no
chr2,G0300,10701,linked-read,male,no
chr8,G0300,10407,linked-read,male,no
chrZ,G0300,10265,linked-read,male,no
chr2,G0774,7694,linked-read,male,no
chr8,G0774,7114,linked-read,male,no
chrZ,G0774,7900,linked-read,male,no
chr2,G101,251,no_HMW_DNA,female,no
chr2,G101,243,short-read,female,no
chr8,G101,272,no_HMW_DNA,female,no
chr8,G101,219,short-read,female,no
chrZ,G101,305,no_HMW_DNA,female,no
chrZ,G101,183,short-read,female,no
chr2,G107,7040,linked-read,male,yes
chr2,G107,693,short-read,male,yes
chr8,G107,6399,linked-read,male,yes
chr8,G107,684,short-read,male,yes
chrZ,G107,6797,linked-read,male,yes
chrZ,G107,620,short-read,male,yes
chr2,G111,1501,short-read,female,no
chr8,G111,1253,short-read,female,no
chrZ,G111,885,short-read,female,no
chr2,G115,4216,linked-read,female,yes
chr2,G115,846,short-read,female,yes
chr8,G115,3958,linked-read,female,yes
chr8,G115,818,short-read,female,yes
chrZ,G115,3701,linked-read,female,yes
chrZ,G115,530,short-read,female,yes
chr2,G118,1735,short-read,male,no
chr8,G118,1495,short-read,male,no
chrZ,G118,1358,short-read,male,no
chr2,G131,9421,linked-read,female,yes
chr2,G131,416,short-read,female,yes
chr8,G131,9418,linked-read,female,yes
chr8,G131,416,short-read,female,yes
chrZ,G131,7423,linked-read,female,yes
chrZ,G131,304,short-read,female,yes
chr2,G133,243,no_HMW_DNA,male,no
chr2,G133,282,short-read,male,no
chr8,G133,245,no_HMW_DNA,male,no
chr8,G133,253,short-read,male,no
chrZ,G133,315,no_HMW_DNA,male,no
chrZ,G133,263,short-read,male,no
chr2,G163,1717,short-read,female,no
chr8,G163,1434,short-read,female,no
chrZ,G163,902,short-read,female,no
chr2,G169,1483,short-read,male,no
chr8,G169,1233,short-read,male,no
chrZ,G169,1179,short-read,male,no
chr2,G183,1411,short-read,male,no
chr8,G183,1137,short-read,male,no
chrZ,G183,1104,short-read,male,no
chr2,G250,1453,short-read,male,no
chr8,G250,1237,short-read,male,no
chrZ,G250,1169,short-read,male,no
chr2,G276,1511,short-read,male,no
chr8,G276,1245,short-read,male,no
chrZ,G276,1016,short-read,male,no
chr2,G294,1467,short-read,male,no
chr8,G294,1248,short-read,male,no
chrZ,G294,1197,short-read,male,no
chr2,HV01,18631,linked-read,male,no
chr8,HV01,16197,linked-read,male,no
chrZ,HV01,16160,linked-read,male,no
chr2,HV02,11246,linked-read,male,no
chr8,HV02,10540,linked-read,male,no
chrZ,HV02,7964,linked-read,male,no
chr2,HV03,14296,linked-read,female,no
chr8,HV03,13390,linked-read,female,no
chrZ,HV03,9822,linked-read,female,no
chr2,HV04,17241,linked-read,female,no
chr8,HV04,16243,linked-read,female,no
chrZ,HV04,11209,linked-read,female,no
chr2,KA01,17736,linked-read,female,no
chr8,KA01,16437,linked-read,female,no
chrZ,KA01,15628,linked-read,female,no
chr2,KA02,41980,linked-read,male,no
chr8,KA02,31612,linked-read,male,no
chrZ,KA02,14776,linked-read,male,no
chr2,KA03,24064,linked-read,female,no
chr8,KA03,20886,linked-read,female,no
chrZ,KA03,17986,linked-read,female,no
chr2,KA04,123904,linked-read,male,no
chr8,KA04,67894,linked-read,male,no
chrZ,KA04,16634,linked-read,male,no
chr2,KA05,130385,linked-read,female,no
chr8,KA05,74289,linked-read,female,no
chrZ,KA05,16111,linked-read,female,no
chr2,KA06,46604,linked-read,female,no
chr8,KA06,35048,linked-read,female,no
chrZ,KA06,14026,linked-read,female,no
chr2,KA07,65091,linked-read,female,no
chr8,KA07,44558,linked-read,female,no
chrZ,KA07,26561,linked-read,female,no
chr2,KA08,22891,linked-read,male,no
chr8,KA08,20347,linked-read,male,no
chrZ,KA08,18056,linked-read,male,no
chr2,KA09,55038,linked-read,male,no
chr8,KA09,40097,linked-read,male,no
chrZ,KA09,16445,linked-read,male,no
chr2,KA10,24504,linked-read,female,no
chr8,KA10,21830,linked-read,female,no
chrZ,KA10,18991,linked-read,female,no
chr2,KA11,24355,linked-read,male,no
chr8,KA11,23189,linked-read,male,no
chrZ,KA11,14174,linked-read,male,no
chr2,KA12,166359,linked-read,female,no
chr8,KA12,63099,linked-read,female,no
chrZ,KA12,45378,linked-read,female,no
chr2,KA13,132341,linked-read,male,no
chr8,KA13,63983,linked-read,male,no
chrZ,KA13,42820,linked-read,male,no
chr2,KA14,23063,linked-read,male,no
chr8,KA14,20561,linked-read,male,no
chrZ,KA14,13171,linked-read,male,no
chr2,KA15,26616,linked-read,female,no
chr8,KA15,22401,linked-read,female,no
chrZ,KA15,11723,linked-read,female,no
chr2,KA16,34246,linked-read,female,no
chr8,KA16,26215,linked-read,female,no
chrZ,KA16,15842,linked-read,female,no
chr2,KA17,38392,linked-read,female,no
chr8,KA17,31039,linked-read,female,no
chrZ,KA17,13706,linked-read,female,no
chr2,KP01,33270,linked-read,female,no
chr8,KP01,31143,linked-read,female,no
chrZ,KP01,20749,linked-read,female,no
chr2,KP03,26053,linked-read,female,no
chr8,KP03,24006,linked-read,female,no
chrZ,KP03,22118,linked-read,female,no
chr2,KP04,31543,linked-read,male,no
chr8,KP04,27964,linked-read,male,no
chrZ,KP04,20039,linked-read,male,no
chr2,KR01,14652,linked-read,female,no
chr8,KR01,13573,linked-read,female,no
chrZ,KR01,10170,linked-read,female,no
chr2,KR02,15528,linked-read,female,no
chr8,KR02,14283,linked-read,female,no
chrZ,KR02,13747,linked-read,female,no
chr2,KR03,15633,linked-read,male,no
chr8,KR03,13902,linked-read,male,no
chrZ,KR03,10066,linked-read,male,no
chr2,KR04,15049,linked-read,female,no
chr8,KR04,13618,linked-read,female,no
chrZ,KR04,10264,linked-read,female,no
chr2,KR05,12148,linked-read,female,no
chr8,KR05,11903,linked-read,female,no
chrZ,KR05,9022,linked-read,female,no
chr2,KR06,15397,linked-read,female,no
chr8,KR06,14364,linked-read,female,no
chrZ,KR06,11108,linked-read,female,no
chr2,KR07,15173,linked-read,female,no
chr8,KR07,14204,linked-read,female,no
chrZ,KR07,13080,linked-read,female,no
chr2,KR08,15405,linked-read,male,no
chr8,KR08,13763,linked-read,male,no
chrZ,KR08,14543,linked-read,male,no
chr2,KR09,14946,linked-read,male,no
chr8,KR09,14121,linked-read,male,no
chrZ,KR09,13218,linked-read,male,no
chr2,KR10,11600,linked-read,male,no
chr8,KR10,11021,linked-read,male,no
chrZ,KR10,8628,linked-read,male,no
chr2,KR11,17059,linked-read,female,no
chr8,KR11,15144,linked-read,female,no
chrZ,KR11,9295,linked-read,female,no
chr2,KR12,13823,linked-read,female,no
chr8,KR12,13053,linked-read,female,no
chrZ,KR12,13563,linked-read,female,no
chr2,KR13,8364,linked-read,male,no
chr8,KR13,7546,linked-read,male,no
chrZ,KR13,4076,linked-read,male,no
chr2,KR14,13060,linked-read,female,no
chr8,KR14,12506,linked-read,female,no
chrZ,KR14,11756,linked-read,female,no
chr2,KR15,12073,linked-read,male,no
chr8,KR15,10948,linked-read,male,no
chrZ,KR15,6968,linked-read,male,no
chr2,KR16,10298,linked-read,female,no
chr8,KR16,9629,linked-read,female,no
chrZ,KR16,9247,linked-read,female,no
chr2,KR17,11574,linked-read,male,no
chr8,KR17,10825,linked-read,male,no
chrZ,KR17,5830,linked-read,male,no
chr2,KR18,23410,linked-read,female,no
chr8,KR18,19529,linked-read,female,no
chrZ,KR18,12735,linked-read,female,no
chr2,KR19,13362,linked-read,female,no
chr8,KR19,12892,linked-read,female,no
chrZ,KR19,11224,linked-read,female,no
chr2,KR20,14482,linked-read,male,no
chr8,KR20,13471,linked-read,male,no
chrZ,KR20,11934,linked-read,male,no
chr2,KR21,13848,linked-read,male,no
chr8,KR21,12739,linked-read,male,no
chrZ,KR21,7696,linked-read,male,no
chr2,KR22,16349,linked-read,female,no
chr8,KR22,14755,linked-read,female,no
chrZ,KR22,12723,linked-read,female,no
chr2,KR23,8794,linked-read,male,no
chr8,KR23,8341,linked-read,male,no
chrZ,KR23,8076,linked-read,male,no
chr2,KR24,15040,linked-read,male,no
chr8,KR24,14745,linked-read,male,no
chrZ,KR24,7941,linked-read,male,no
chr2,KR25,12544,linked-read,female,no
chr8,KR25,11903,linked-read,female,no
chrZ,KR25,7276,linked-read,female,no
chr2,KR26,13638,linked-read,female,no
chr8,KR26,12773,linked-read,female,no
chrZ,KR26,8102,linked-read,female,no
chr2,KR27,25538,linked-read,female,no
chr8,KR27,20764,linked-read,female,no
chrZ,KR27,18819,linked-read,female,no
chr2,KR28,16163,linked-read,male,no
chr8,KR28,14899,linked-read,male,no
chrZ,KR28,9780,linked-read,male,no
chr2,KR29,19293,linked-read,female,no
chr8,KR29,16716,linked-read,female,no
chrZ,KR29,15272,linked-read,female,no
chr2,KR30,24772,linked-read,male,no
chr8,KR30,20787,linked-read,male,no
chrZ,KR30,10118,linked-read,male,no
chr2,KR31,18531,linked-read,female,no
chr8,KR31,17546,linked-read,female,no
chrZ,KR31,10201,linked-read,female,no
chr2,KR32,28873,linked-read,female,no
chr8,KR32,24546,linked-read,female,no
chrZ,KR32,21308,linked-read,female,no
chr2,KR33,20336,linked-read,male,no
chr8,KR33,18080,linked-read,male,no
chrZ,KR33,16477,linked-read,male,no
chr2,KR34,14817,linked-read,male,no
chr8,KR34,13643,linked-read,male,no
chrZ,KR34,10135,linked-read,male,no
chr2,KR35,12726,linked-read,female,no
chr8,KR35,11898,linked-read,female,no
chrZ,KR35,9202,linked-read,female,no
chr2,KR36,12537,linked-read,female,no
chr8,KR36,11739,linked-read,female,no
chrZ,KR36,10869,linked-read,female,no
chr2,KR37,14627,linked-read,male,no
chr8,KR37,13581,linked-read,male,no
chrZ,KR37,12969,linked-read,male,no
chr2,KR38,14630,linked-read,male,no
chr8,KR38,12943,linked-read,male,no
chrZ,KR38,12804,linked-read,male,no
chr2,KR39,13494,linked-read,male,no
chr8,KR39,12291,linked-read,male,no
chrZ,KR39,12190,linked-read,male,no
chr2,KR40,14604,linked-read,male,no
chr8,KR40,12652,linked-read,male,no
chrZ,KR40,9581,linked-read,male,no
chr2,KR41,20211,linked-read,female,no
chr8,KR41,18087,linked-read,female,no
chrZ,KR41,13104,linked-read,female,no
chr2,KR42,17457,linked-read,female,no
chr8,KR42,15540,linked-read,female,no
chrZ,KR42,12044,linked-read,female,no
chr2,KR43,15245,linked-read,female,no
chr8,KR43,13534,linked-read,female,no
chrZ,KR43,12966,linked-read,female,no
chr2,KR44,16641,linked-read,male,no
chr8,KR44,14825,linked-read,male,no
chrZ,KR44,14198,linked-read,male,no
chr2,KR45,20517,linked-read,male,no
chr8,KR45,17543,linked-read,male,no
chrZ,KR45,16483,linked-read,male,no
chr2,KR46,12367,linked-read,male,no
chr8,KR46,11517,linked-read,male,no
chrZ,KR46,11368,linked-read,male,no
chr2,KR47,15443,linked-read,male,no
chr8,KR47,14928,linked-read,male,no
chrZ,KR47,13932,linked-read,male,no
chr2,KR48,13186,linked-read,male,no
chr8,KR48,12917,linked-read,male,no
chrZ,KR48,11609,linked-read,male,no
chr2,KR49,13324,linked-read,male,no
chr8,KR49,13120,linked-read,male,no
chrZ,KR49,9419,linked-read,male,no
chr2,KR50,12842,linked-read,female,no
chr8,KR50,11662,linked-read,female,no
chrZ,KR50,11101,linked-read,female,no
chr2,KS04,34370,linked-read,male,no
chr8,KS04,29830,linked-read,male,no
chrZ,KS04,20411,linked-read,male,no
chr2,KS05,20729,linked-read,female,no
chr8,KS05,19295,linked-read,female,no
chrZ,KS05,18695,linked-read,female,no
chr2,KS06,28062,linked-read,male,no
chr8,KS06,26055,linked-read,male,no
chrZ,KS06,19666,linked-read,male,no
chr2,KS07,57108,linked-read,female,no
chr8,KS07,43772,linked-read,female,no
chrZ,KS07,36403,linked-read,female,no
chr2,KS08,29920,linked-read,male,no
chr8,KS08,28328,linked-read,male,no
chrZ,KS08,21632,linked-read,male,no
chr2,KS09,33960,linked-read,female,no
chr8,KS09,30422,linked-read,female,no
chrZ,KS09,28273,linked-read,female,no
chr2,KS10,42610,linked-read,male,no
chr8,KS10,37244,linked-read,male,no
chrZ,KS10,28351,linked-read,male,no
chr2,KS11,34920,linked-read,male,no
chr8,KS11,33319,linked-read,male,no
chrZ,KS11,25002,linked-read,male,no
chr2,KS12,23534,linked-read,female,no
chr8,KS12,22757,linked-read,female,no
chrZ,KS12,19105,linked-read,female,no
chr2,KS13,24899,linked-read,female,no
chr8,KS13,23680,linked-read,female,no
chrZ,KS13,19395,linked-read,female,no
chr2,KS14,33435,linked-read,female,no
chr8,KS14,30347,linked-read,female,no
chrZ,KS14,21738,linked-read,female,no
chr2,KS15,28547,linked-read,female,no
chr8,KS15,25702,linked-read,female,no
chrZ,KS15,20583,linked-read,female,no
chr2,KS16,30073,linked-read,female,no
chr8,KS16,27807,linked-read,female,no
chrZ,KS16,20479,linked-read,female,no
chr2,KS17,54496,linked-read,female,no
chr8,KS17,45207,linked-read,female,no
chrZ,KS17,21923,linked-read,female,no
chr2,KS18,22210,linked-read,female,no
chr8,KS18,22499,linked-read,female,no
chrZ,KS18,18033,linked-read,female,no
chr2,KU01,11204,linked-read,male,no
chr8,KU01,10698,linked-read,male,no
chrZ,KU01,10110,linked-read,male,no
chr2,KU02,10656,linked-read,male,no
chr8,KU02,10424,linked-read,male,no
chrZ,KU02,9739,linked-read,male,no
chr2,LA01,28083,linked-read,female,no
chr8,LA01,24063,linked-read,female,no
chrZ,LA01,20937,linked-read,female,no
chr2,LA02,12467,linked-read,male,no
chr8,LA02,11941,linked-read,male,no
chrZ,LA02,9778,linked-read,male,no
chr2,LA03,93515,linked-read,female,no
chr8,LA03,56448,linked-read,female,no
chrZ,LA03,26496,linked-read,female,no
chr2,LA04,63053,linked-read,male,no
chr8,LA04,39435,linked-read,male,no
chrZ,LA04,25353,linked-read,male,no
chr2,LA05,24079,linked-read,male,no
chr8,LA05,20553,linked-read,male,no
chrZ,LA05,18920,linked-read,male,no
chr2,LA06,34678,linked-read,male,no
chr8,LA06,25172,linked-read,male,no
chrZ,LA06,12650,linked-read,male,no
chr2,LA07,18357,linked-read,female,no
chr8,LA07,16862,linked-read,female,no
chrZ,LA07,15041,linked-read,female,no
chr2,LA08,27977,linked-read,male,no
chr8,LA08,23726,linked-read,male,no
chrZ,LA08,19132,linked-read,male,no
chr2,LA09,23142,linked-read,male,no
chr8,LA09,19692,linked-read,male,no
chrZ,LA09,11729,linked-read,male,no
chr2,LA10,35742,linked-read,female,no
chr8,LA10,28377,linked-read,female,no
chrZ,LA10,21785,linked-read,female,no
chr2,LA11,26719,linked-read,male,no
chr8,LA11,20913,linked-read,male,no
chrZ,LA11,12443,linked-read,male,no
chr2,LA12,23733,linked-read,female,no
chr8,LA12,20290,linked-read,female,no
chrZ,LA12,17989,linked-read,female,no
chr2,LA13,28989,linked-read,male,no
